   1: 8C TS KC 9H 4S vs. 7D 2S 5D 3S AC; P2 wins!
   2: 5C AD 5D AC 9C vs. 7C 5H 8D TD KS; P1 wins!
   3: 3H 7H 6S KC JS vs. QH TD JC 2D 8S; P1 wins!
   4: TH 8H 5C QS TC vs. 9H 4D JC KS JS; P2 wins!
   5: 7C 5H KC QH JD vs. AS KH 4C AD 4S; P2 wins!
   6: 5H KS 9C 7D 9H vs. 8D 3S 5D 5C AH; P1 wins!
   7: 6H 4H 5C 3H 2H vs. 3S QH 5S 6S AS; P1 wins!
   8: TD 8C 4H 7C TC vs. KC 4C 3H 7S KS; P2 wins!
   9: 7C 9C 6D KD 3H vs. 4C QS QC AC KH; P2 wins!
  10: JC 6S 5H 2H 2D vs. KD 9D 7C AS JS; P1 wins!
  11: AD QH TH 9D 8H vs. TS 6D 3S AS AC; P2 wins!
  12: 2H 4S 5C 5S TC vs. KC JD 6C TS 3C; P1 wins!
  13: QD AS 6H JS 2C vs. 3D 9H KC 4H 8S; P1 wins!
  14: KD 8S 9S 7C 2S vs. 3S 6D 6S 4H KC; P2 wins!
  15: 3C 8C 2D 7D 4D vs. 9S 4S QH 4H JD; P2 wins!
  16: 8C KC 7S TC 2D vs. TS 8H QD AC 5C; P2 wins!
  17: 3D KH QD 6C 6S vs. AD AS 8H 2H QS; P2 wins!
  18: 6S 8D 4C 8S 6C vs. QH TC 6D 7D 9D; P1 wins!
  19: 2S 8D 8C 4C TS vs. 9S 9D 9C AC 3D; P2 wins!
  20: 3C QS 2S 4H JH vs. 3D 2D TD 8S 9H; P1 wins!
  21: 5H QS 8S 6D 3C vs. 8C JD AS 7H 7D; P2 wins!
  22: 6H TD 9D AS JH vs. 6C QC 9S KD JC; P1 wins!
  23: AH 8S QS 4D TH vs. AC TS 3C 3D 5C; P2 wins!
  24: 5S 4D JS 3D 8H vs. 6C TS 3S AD 8C; P2 wins!
  25: 6D 7C 5D 5H 3S vs. 5C JC 2H 5S 3D; P2 wins!
  26: 5H 6H 2S KS 3D vs. 5D JD 7H JS 8H; P2 wins!
  27: KH 4H AS JS QS vs. QC TC 6D 7C KS; P1 wins!
  28: 3D QS TS 2H JS vs. 4D AS 9S JC KD; P2 wins!
  29: QD 5H 4D 5D KH vs. 7H 3D JS KD 4H; P1 wins!
  30: 2C 9H 6H 5C 9D vs. 6C JC 2D TH 9S; P1 wins!
  31: 7D 6D AS QD JH vs. 4D JS 7C QS 5C; P1 wins!
  32: 3H KH QD AD 8C vs. 8H 3S TH 9D 5S; P1 wins!
  33: AH 9S 4D 9D 8S vs. 4H JS 3C TC 8D; P1 wins!
  34: 2C KS 5H QD 3S vs. TS 9H AH AD 8S; P2 wins!
  35: 5C 7H 5D KD 9H vs. 4D 3D 2D KS AD; P1 wins!
  36: KS KC 9S 6D 2C vs. QH 9D 9H TS TC; P2 wins!
  37: 9C 6H 5D QH 4D vs. AD 6D QC JS KH; P2 wins!
  38: 9S 3H 9D JD 5C vs. 4D 9H AS TC QH; P1 wins!
  39: 2C 6D JC 9C 3C vs. AD 9S KH 9D 7D; P2 wins!
  40: KC 9C 7C JC JS vs. KD 3H AS 3C 7D; P1 wins!
  41: QD KH QS 2C 3S vs. 8S 8H 9H 9C JC; P2 wins!
  42: QH 8D 3C KC 4C vs. 4H 6D AD 9H 9D; P2 wins!
  43: 3S KS QS 7H KH vs. 7D 5H 5D JD AD; P1 wins!
  44: 2H 2C 6H TH TC vs. 7D 8D 4H 8C AS; P2 wins!
  45: 4S 2H AC QC 3S vs. 6D TH 4D 4C KH; P2 wins!
  46: 4D TC KS AS 7C vs. 3C 6D 2D 9H 6C; P2 wins!
  47: 8C TD 5D QS 2C vs. 7H 4C 9C 3H 9H; P2 wins!
  48: 5H JH TS 7S TD vs. 6H AD QD 8H 8S; P1 wins!
  49: 5S AD 9C 8C 7C vs. 8D 5H 9D 8S 2S; P2 wins!
  50: 4H KH KS 9S 2S vs. KC 5S AD 4S 7D; P1 wins!
  51: QS 9C QD 6H JS vs. 5D AC 8D 2S AS; P2 wins!
  52: KH AC JC 3S 9D vs. 9S 3C 9C 5S JS; P2 wins!
